,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
222,PE-LD,-0.165607016,-0.192516596,0.359203014,1.766092075
223,PE-LD,-0.157746769,-0.183780783,0.368056487,1.773507496
224,PE-LD,-0.170096909,-0.197060788,0.350445542,1.757931051
225,PE-LD,-0.172402598,-0.199564387,0.344716355,1.749737091
226,PE-LD,-0.19411898,-0.226930046,0.320503307,1.743765774
227,PE-LD,-0.192700504,-0.21948134,0.297965944,1.717841665
228,PE-LD,-0.165521946,-0.193370165,0.352676444,1.753250885
229,PE-LD,-0.166214285,-0.19325492,0.352145659,1.763477035
230,PE-LD,-0.167115302,-0.193846153,0.356077893,1.757200206
231,PE-LD,-0.164940867,-0.191791339,0.354612726,1.768205179
232,PE-LD,-0.179601258,-0.207565952,0.326010679,1.744874769
233,PE-LD,-0.188760959,-0.219929737,0.309848805,1.72015258
234,PE-LD,-0.187622072,-0.216687421,0.339556546,1.747679716
235,PE-LD,-0.167819855,-0.194687092,0.350929689,1.75338953
236,PE-LD,-0.163345914,-0.189843277,0.359095053,1.769536367
237,PE-LD,-0.174522633,-0.202219481,0.34670252,1.760163523
238,PE-LD,-0.172636843,-0.200144378,0.347108546,1.750150103
239,PE-LD,-0.185028996,-0.213497728,0.333957607,1.735350436
240,PE-LD,-0.164220603,-0.190710306,0.354686358,1.766340402
241,PE-LD,-0.166627366,-0.193346258,0.348782593,1.754222258
242,PE-LD,-0.171274429,-0.199510403,0.35417891,1.76022698
243,PE-LD,-0.163892962,-0.190287194,0.35368672,1.75833962
244,PE-LD,-0.174904481,-0.202422,0.342357068,1.753630445
245,PE-LD,-0.175929487,-0.203562907,0.338837804,1.738392647
246,PE-LD,-0.169839824,-0.196891191,0.34966523,1.759692195
247,PE-LD,-0.165071029,-0.191597708,0.351952055,1.762542972
248,PE-LD,-0.154651991,-0.179985063,0.362600287,1.77299103
249,PE-LD,-0.156937326,-0.182640144,0.361989093,1.774980086
250,PET,-0.455002731,-0.466666674,0.119754352,1.086206925
251,PET,-0.41501816,-0.426278278,0.128114384,1.050776325
252,PET,-0.424680445,-0.436046206,0.126113134,1.066113172
253,PET,-0.456534566,-0.468300305,0.119157339,1.092148067
254,PET,-0.415114761,-0.426347065,0.130111746,1.064098853
255,PET,-0.3592592,-0.369412284,0.147312646,1.067199935
256,PET,-0.456587961,-0.468400951,0.119926471,1.071148258
257,PET,-0.406870003,-0.418882838,0.137582991,1.05063624
258,PET,-0.445854475,-0.457362414,0.121681615,1.070077558
259,PET,-0.41332328,-0.424509276,0.128507338,1.06003077
260,PET,-0.452549042,-0.464118619,0.120203681,1.076123637
261,PET,-0.450695354,-0.462238891,0.120293049,1.08049986
262,PET,-0.413586301,-0.424850616,0.130527058,1.058835707
263,PET,-0.45405543,-0.465716846,0.119587947,1.077623518
264,PET,-0.438208594,-0.449707278,0.122928364,1.057042613
265,PET,-0.45831438,-0.470492089,0.120284588,1.140909174
266,PET,-0.411703688,-0.423055677,0.131980474,1.069206003
267,PET,-0.444085764,-0.45566583,0.122367899,1.069430971
268,PET,-0.401949981,-0.413147285,0.134589546,1.061971185
269,PET,-0.433374387,-0.444967905,0.126000036,1.060909058
270,PET,-0.449904481,-0.461478002,0.120203894,1.06750662
271,PET,-0.421901252,-0.433210179,0.126945799,1.059018146
272,PET,-0.457641709,-0.469742444,0.120005456,1.097497574
273,PET,-0.411268475,-0.42251056,0.130189137,1.056663768
274,PET,-0.402565515,-0.413733084,0.133133744,1.065168388
275,PET,-0.403957305,-0.415061971,0.132528641,1.050195846
276,PET,-0.374940725,-0.38546799,0.142776913,1.053490221
277,PET,-0.436192565,-0.447622494,0.122210789,1.05838864
278,PET,-0.436559552,-0.447967512,0.122751744,1.067068368
279,PET,-0.410611708,-0.421803765,0.130159951,1.054600274
280,PET,-0.420984108,-0.432348029,0.127335055,1.066979407
281,PET,-0.441444361,-0.453025374,0.122855725,1.06109853
282,PET,-0.422734332,-0.434035732,0.124974369,1.058050319
283,PET,-0.373324274,-0.383870694,0.142803045,1.053188371
284,PET,-0.45222081,-0.463901301,0.121612861,1.084018663
285,PET,-0.291322679,-0.298976194,0.158483433,1.032019243
286,PET,-0.333035233,-0.342461629,0.152372252,1.042922647
287,PET,-0.437078344,-0.448587076,0.122863016,1.063534999
288,PET,-0.378426295,-0.38908644,0.139495772,1.05343642
289,PET,-0.412403602,-0.423626346,0.130692168,1.066420913
290,PET,-0.425372755,-0.436667564,0.125075235,1.065047418
291,PET,-0.453498234,-0.465150206,0.119521544,1.082398363
292,PET,-0.442160657,-0.453704875,0.122133072,1.059078791
293,PET,-0.411670447,-0.422900762,0.129979174,1.058140909
294,PET,-0.459321167,-0.47124276,0.120184775,1.090699647
