,polymer,mean(ni),median(ni),standard_deviation(ni),variance(ni),iqr(ni),range(ni),mean(nid),median(nid),standard_deviation(nid),variance(nid),iqr(nid),range(nid)
243,PS,0.00404524,0.00359519,0.001630939,2.66E-06,0.001500031,0.02960691,-0.221413274,-0.253996447,0.258391406,0.066766119,0.32850275,1.722211093
244,PS,0.00414555,0.003695904,0.001629392,2.65E-06,0.001495453,0.029448209,-0.230213519,-0.263336155,0.253781248,0.064404922,0.321022936,1.714639636
245,PS,0.003929867,0.003474638,0.001659795,2.75E-06,0.001544284,0.029672526,-0.204704229,-0.235877934,0.267053383,0.07131751,0.343655008,1.750336678
246,PS,0.004147924,0.00369743,0.001633737,2.67E-06,0.001501556,0.029248306,-0.232046492,-0.265412747,0.254351713,0.064694794,0.321570133,1.713472005
247,PS,0.003905957,0.003448697,0.001653403,2.73E-06,0.00153818,0.029327657,-0.206157609,-0.237823367,0.266645596,0.071099874,0.34291208,1.743127513
248,PS,0.004057137,0.003605872,0.001634249,2.67E-06,0.001500031,0.02936428,-0.223484219,-0.256076633,0.25840109,0.066771123,0.328527625,1.728479028
249,PS,0.005756358,0.003531099,0.008131715,6.61E-05,0.00195477,0.048467924,-0.202582113,-0.231264367,0.266213575,0.070869667,0.361554285,1.753066831
250,POM,0.020388136,0.020435818,0.006912045,4.78E-05,0.010651285,0.081474699,-0.36829759,-0.397668694,0.160089915,0.025628781,0.177469022,1.558082296
251,POM,0.013611073,0.012665568,0.003388088,1.15E-05,0.003027529,0.066172252,-0.306739372,-0.335180054,0.181098134,0.032796534,0.204685556,1.607338404
252,POM,0.012948563,0.012000244,0.003407733,1.16E-05,0.003051944,0.06681316,-0.296396125,-0.32549692,0.188120609,0.035389364,0.21423456,1.624626572
253,POM,0.015217474,0.014331929,0.003386568,1.15E-05,0.00304584,0.067106147,-0.334629493,-0.361853831,0.167719786,0.028129927,0.187904365,1.557442921
254,POM,0.013189472,0.0122444,0.003393901,1.15E-05,0.003033632,0.066276018,-0.302013252,-0.330926593,0.185204259,0.034300617,0.210070664,1.616123173
255,POM,0.013677824,0.012738815,0.003375761,1.14E-05,0.003009217,0.066080693,-0.309739484,-0.338105262,0.180209591,0.032475497,0.203701513,1.603577422
256,POM,0.012668023,0.011725569,0.003405841,1.16E-05,0.003058048,0.066080693,-0.292002696,-0.32120653,0.190638423,0.036343008,0.217550881,1.642331151
257,POM,0.014034274,0.013098944,0.003414773,1.17E-05,0.003106879,0.066868095,-0.315350821,-0.343584304,0.177760825,0.031598911,0.200533858,1.582682025
258,POM,0.012999873,0.012049075,0.003414467,1.17E-05,0.003070256,0.068003418,-0.29599935,-0.324736224,0.187145748,0.035023531,0.21279993,1.628891873
259,POM,0.013590636,0.012689984,0.003456187,1.19E-05,0.003235061,0.068735885,-0.305421321,-0.334069574,0.182488145,0.033301923,0.206801727,1.61137295
260,POM,0.01360899,0.012671672,0.003375203,1.14E-05,0.003003113,0.066129525,-0.307360942,-0.335744112,0.180844307,0.032704663,0.204481775,1.595883627
261,POM,0.01320661,0.012262711,0.003401917,1.16E-05,0.00304584,0.066221083,-0.30040163,-0.329139636,0.18502009,0.034232434,0.210000148,1.620776806
262,POM,0.013859871,0.012812061,0.003689942,1.36E-05,0.003491424,0.065366538,-0.312328889,-0.34099185,0.18088189,0.032718258,0.205120632,1.609702278
263,POM,0.01196753,0.011023622,0.003405247,1.16E-05,0.00304584,0.066672771,-0.27826061,-0.307779674,0.197896201,0.039162907,0.227445615,1.661018372
264,POM,0.013337326,0.012390893,0.003396415,1.15E-05,0.003039736,0.065659525,-0.304355683,-0.333333332,0.183959574,0.033841125,0.208376781,1.612286435
265,POM,0.013550013,0.012628945,0.003459328,1.20E-05,0.003210645,0.066526277,-0.304243767,-0.332953248,0.182474566,0.033296967,0.206810742,1.597643925
266,POM,0.014332959,0.013324788,0.003613069,1.31E-05,0.003338827,0.066684978,-0.315616756,-0.343476255,0.1762469,0.03106297,0.198568932,1.592504297
267,POM,0.014017895,0.013080632,0.003376365,1.14E-05,0.003021425,0.065915888,-0.312978052,-0.340999778,0.177090214,0.031360944,0.199516096,1.594651304
268,POM,0.012311021,0.011359336,0.003460257,1.20E-05,0.00315571,0.066062382,-0.289986783,-0.319620903,0.194934836,0.03799959,0.223339128,1.64020001
269,POM,0.013256461,0.012262711,0.003505208,1.23E-05,0.003167918,0.065592382,-0.301804526,-0.330672747,0.185685332,0.034479043,0.211034126,1.623123551
270,POM,0.012650982,0.01169505,0.003425896,1.17E-05,0.003088567,0.066092901,-0.291521476,-0.320662169,0.190813902,0.036409945,0.217734807,1.642484419
