,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
255,PE,0.003336659,0.00875456,13.113507,3.671899,0.22538,0.85264975,0.92392224,0.49736977,2.8208737,3.5300236
256,PE,0.003316704,0.008716621,13.158322,3.7704592,0.22582117,0.8409992,0.72715235,0.50686425,2.8063846,3.696921
257,PE,0.004675198,0.012177225,26.0709,8.081809,0.38292214,0.75966424,1.0333753,1.2134037,2.99956,5.19698
258,PE,0.004633846,0.011595608,27.00851,7.5480533,0.3902652,0.76561123,1.3415236,1.2011045,3.098181,5.119056
259,PE,0.004689928,0.012319171,26.097954,7.9900336,0.37346008,0.7356553,1.4350656,1.2095025,3.0662186,5.5148754
260,PE,0.00468533,0.011922813,26.615713,8.032982,0.3838897,0.7830253,1.2015927,1.2305437,2.9333441,4.8415136
261,PE,0.003415044,0.008924365,12.75835,3.3480315,0.22145943,0.85481775,0.55662036,0.46451437,2.7728298,3.4923139
262,PE,0.003416057,0.009159416,12.568585,3.6383488,0.21679123,0.83839893,0.8596614,0.4831772,2.7378514,3.7129722
263,PE,0.003399128,0.00870596,12.950701,3.0994084,0.22264688,0.84995794,0.72745484,0.4521953,2.8598168,3.5638688
264,PE,0.003412499,0.009415555,12.390358,4.2214828,0.2118162,0.83389246,0.79597193,0.52369964,2.6940088,3.7624054
265,PE,0.003417434,0.009292419,12.499026,3.9769301,0.2129613,0.83558464,0.651614,0.50621456,2.7321362,3.7418704
266,PET,0.004296841,0.057784002,2.7915556,15.642654,0.06405264,0.8947958,0.14703974,1.4903681,0.5895825,2.6423018
267,PET,0.004970559,0.092292935,1.7485483,16.782309,0.042404372,0.9011897,0.0876419,1.6018881,0.43107316,2.5295975
268,PET,0.005562956,0.10817593,1.3974589,16.767574,0.036616363,0.89978427,0.07476777,1.5997891,0.38305616,2.5407631
269,PET,0.005226376,0.09073616,1.7626125,16.817305,0.043054916,0.89945316,0.08370309,1.6054972,0.4295602,2.550735
270,PET,0.005791212,0.10853447,1.3939373,16.417007,0.036628984,0.9002933,0.07611554,1.5642687,0.38054276,2.5369704
271,PET,0.005239203,0.100771025,1.5628062,16.607012,0.039204337,0.90404725,0.07853293,1.5837804,0.4013187,2.4932663
272,PET,0.005280213,0.10207017,1.5135541,16.666775,0.038767792,0.90072364,0.07572696,1.5897164,0.39810196,2.5311346
273,PET,0.005983359,0.12272615,1.1973784,17.004179,0.0326047,0.90157634,0.07054822,1.6234553,0.34951112,2.517931
274,PET,0.004193312,0.050688367,3.2556744,16.021738,0.07159919,0.8865391,0.12986995,1.5299028,0.6621511,2.787588
275,PET,0.003999403,0.0485322,3.3664052,15.995134,0.074448384,0.8846278,0.13006847,1.527759,0.6811874,2.8217034
276,PET,0.004331938,0.06388065,2.5254824,16.390167,0.05893882,0.8885311,0.11646255,1.564431,0.5540775,2.7323914
277,PET,0.004205451,0.06015043,2.6676884,16.00864,0.062154725,0.89730304,0.109959334,1.5264838,0.5782237,2.602011
278,PET,0.004572728,0.057268932,2.862299,16.069206,0.064992085,0.8894753,0.45322692,1.533847,0.60811615,2.728709
279,PET,0.006687666,0.10398975,1.4968373,16.800898,0.03820315,0.89881676,0.08425501,1.6033746,0.39729303,2.5543542
280,PET,0.005026517,0.09874376,1.5958067,16.787624,0.03998666,0.9001451,0.07747191,1.6022258,0.41188276,2.5392468
281,PET,0.004892749,0.10104908,1.5733587,16.78108,0.039158367,0.90006584,0.07650129,1.6014427,0.40677437,2.5374565
282,PET,0.00506265,0.095507436,1.6745629,16.970114,0.041120905,0.90247536,0.07896608,1.6207952,0.42302385,2.511201
283,PET,0.005813233,0.10157571,1.595153,17.063368,0.038838875,0.89954954,0.07615139,1.630041,0.4043095,2.5466292
284,PET,0.005588686,0.120538786,1.1765599,17.078142,0.033278674,0.90361273,0.07041134,1.6308548,0.36357582,2.496375
285,PET,0.006221295,0.10911192,1.4024801,16.96241,0.03648641,0.90238804,0.073362485,1.6194637,0.3881574,2.5109708
286,PET,0.005249559,0.11221045,1.3013511,16.932365,0.035535943,0.90302175,0.07219675,1.6162809,0.38084027,2.502404
287,PET,0.005864109,0.10952283,1.3919065,16.827164,0.036254186,0.90205806,0.07436961,1.6058599,0.38567677,2.5146966
288,PET,0.004354333,0.065255634,2.4482489,15.882557,0.057616293,0.89419216,0.09877074,1.513123,0.53933775,2.6402476
289,PET,0.004788257,0.08204934,1.9285355,16.631077,0.04731406,0.8995638,0.08661335,1.5870138,0.46746802,2.553127
290,PET,0.007657641,0.12852693,1.1475257,16.906174,0.031450234,0.9010402,0.06983139,1.6134839,0.34604833,2.5229342
291,PET,0.007064236,0.12677929,1.1458417,17.210228,0.031861357,0.8995708,0.06944385,1.6438915,0.34767124,2.539453
292,PET,0.004844201,0.08858239,1.8050811,16.997341,0.044172097,0.9016607,0.08148157,1.6237409,0.43854314,2.5247073
293,PET,0.006033759,0.12165187,1.2242825,17.271303,0.033100717,0.9007172,0.07028747,1.6500878,0.35778004,2.5248945
294,PET,0.00806914,0.14159726,0.9953951,17.444237,0.02868085,0.8977625,0.06629461,1.6668048,0.32265332,2.5565224
295,PET,0.006285737,0.07618871,2.0787518,16.716717,0.05074596,0.89813775,0.0972994,1.5960413,0.4828702,2.5747077
296,PET,0.004137986,0.04995442,3.3277075,16.051346,0.07290782,0.8883844,0.13161303,1.5332639,0.65069795,2.7593098
297,PET,0.004323287,0.05790507,2.8593092,16.309473,0.06435191,0.8906986,0.11192063,1.55732,0.5972022,2.7068946
