,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
2114,PE-LD,0.004195648,0.003747787,0.001629799,2.66E-06,0.001506134,0.027612464,-0.203781626,-0.233135507,0.249578989,0.062289672,0.314384816,1.706421671
2115,PE-LD,0.004173428,0.003726424,0.001624727,2.64E-06,0.001500031,0.027398828,-0.203000219,-0.232313335,0.249921319,0.062460666,0.314715037,1.713428749
2116,PE-LD,0.004171539,0.003723372,0.001631436,2.66E-06,0.001506134,0.027440029,-0.200915074,-0.23006451,0.250806374,0.062903837,0.316550214,1.710642733
2117,PE-LD,0.004166308,0.003715742,0.001636494,2.68E-06,0.001512238,0.027685711,-0.199918525,-0.228956228,0.251747844,0.063376977,0.318069967,1.718332071
2118,PE-LD,0.00415651,0.003706586,0.001637592,2.68E-06,0.001513764,0.027609412,-0.198767649,-0.227714406,0.252340608,0.063675782,0.319029818,1.719464801
2119,PE-LD,0.004143799,0.003694378,0.001637103,2.68E-06,0.001513764,0.027580419,-0.198140913,-0.22701582,0.252792412,0.063904004,0.319615314,1.717286427
2120,PE-LD,0.004129888,0.003679119,0.001637064,2.68E-06,0.001513764,0.027530062,-0.196399195,-0.225142268,0.253387481,0.064205215,0.320657677,1.717549562
2121,PE-LD,0.004122509,0.003673015,0.001637661,2.68E-06,0.001513764,0.027607886,-0.196313236,-0.225083986,0.253802146,0.064415529,0.321482035,1.716033227
2122,PE-LD,0.005275883,0.004832753,0.001616355,2.61E-06,0.001486297,0.027435451,-0.298767222,-0.33220468,0.211297797,0.044646759,0.255130684,1.593909873
2123,PE-LD,0.004497389,0.00404993,0.001628908,2.65E-06,0.001501556,0.02751175,-0.223767754,-0.25410991,0.23689527,0.056119369,0.293505018,1.681945409
2124,PE-LD,0.004451415,0.004002625,0.001629251,2.65E-06,0.001504608,0.027510224,-0.222002285,-0.252228163,0.238915834,0.057080776,0.296817057,1.685082458
2125,PE-LD,0.004415185,0.003966001,0.00163131,2.66E-06,0.001506134,0.027432399,-0.219268089,-0.249427917,0.240568348,0.05787313,0.299642255,1.688511345
2126,PE-LD,0.004339198,0.003889703,0.001633103,2.67E-06,0.00150766,0.027537692,-0.21328249,-0.243110235,0.24389515,0.059484844,0.304928908,1.69227447
2127,PE-LD,0.004313577,0.003863761,0.001634933,2.67E-06,0.001509186,0.027412562,-0.210845496,-0.24044857,0.245166831,0.060106775,0.307130233,1.698436608
2128,PE-LD,0.004270847,0.00382256,0.001627017,2.65E-06,0.001501556,0.027392724,-0.208704903,-0.238270468,0.24593762,0.060485313,0.308267112,1.699026612
2129,PE-LD,0.004245899,0.003798144,0.001627021,2.65E-06,0.001501556,0.027469023,-0.206961649,-0.236343366,0.246979897,0.060999069,0.310027044,1.698054744
2130,PE-LD,0.004204368,0.003753891,0.001635024,2.67E-06,0.001509186,0.027475127,-0.201861608,-0.230998509,0.249826201,0.062413131,0.31478315,1.705957232
2131,PE-LD,0.004174473,0.003724898,0.001635585,2.68E-06,0.001510712,0.027676555,-0.199811339,-0.228752642,0.251159477,0.063081083,0.316823206,1.70457627
2132,PE-LD,0.00415528,0.00370506,0.001636165,2.68E-06,0.001512238,0.027543795,-0.197853234,-0.226693835,0.252077363,0.063542997,0.318544139,1.713908154
